a_ranking,b_score,c_movie_name,d_scoure_num
1,9.6,肖申克的救赎,1236657
2,9.6,霸王别姬,910748
3,9.4,这个杀手不太冷,1136829
4,9.4,阿甘正传,974991
5,9.5,美丽人生,569724
6,9.3,泰坦尼克号,910763
7,9.3,千与千寻,904721
8,9.5,辛德勒的名单,511595
9,9.3,盗梦空间,990450
10,9.3,机器人总动员,657079
11,9.3,忠犬八公的故事,643251
12,9.2,三傻大闹宝莱坞,886254
13,9.2,海上钢琴师,739118
14,9.2,放牛班的春天,610314
15,9.2,大话西游之大圣娶亲,676921
16,9.2,楚门的世界,657406
17,9.2,星际穿越,670984
18,9.2,教父,448492
19,9.1,龙猫,581309
20,9.3,熔炉,382763
21,9.1,无间道,556067
22,9.0,当幸福来敲门,716676
23,9.2,触不可及,475584
24,9.0,怦然心动,774075
25,9.2,疯狂动物城,739038
26,9.2,乱世佳人,339354
27,9.1,蝙蝠侠：黑暗骑士,446847
28,9.2,活着,368181
29,9.1,天堂电影院,371865
30,9.0,少年派的奇幻漂流,732380
31,9.4,十二怒汉,218451
32,9.2,鬼子来了,304165
33,9.1,指环王3：王者无敌,364172
34,9.6,控方证人,149582
35,9.0,天空之城,425031
36,9.0,搏击俱乐部,479126
37,8.9,飞屋环游记,646776
38,8.9,大话西游之月光宝盒,545365
39,9.0,罗马假日,489167
40,9.1,摔跤吧！爸爸,663716
41,9.1,窃听风暴,290247
42,8.9,哈尔的移动城堡,462301
43,9.2,辩护人,287730
44,9.0,闻香识女人,415461
45,9.1,两杆大烟枪,328021
46,9.0,飞越疯人院,332118
47,9.0,死亡诗社,355795
48,8.8,V字仇杀队,539042
49,9.3,海豚湾,218571
50,9.1,教父2,242601
51,9.0,指环王2：双塔奇兵,341503
52,8.9,指环王1：魔戒再现,382362
53,8.9,美丽心灵,379263
54,9.1,饮食男女,262956
55,8.8,情书,469675
56,9.1,素媛,249609
57,8.9,狮子王,360903
58,9.1,钢琴家,250221
59,9.1,末代皇帝,256344
60,9.1,美国往事,215396
61,9.2,小鞋子,181652
62,8.8,七宗罪,522513
63,8.9,被嫌弃的松子的一生,377146
64,8.8,本杰明·巴顿奇事,487715
65,8.8,致命魔术,427554
66,8.8,西西里的美丽传说,454871
67,8.9,黑客帝国,359416
68,8.7,让子弹飞,795555
69,8.9,拯救大兵瑞恩,307722
70,8.7,看不见的客人,487299
71,8.7,天使爱美丽,579983
72,8.9,音乐之声,286313
73,8.8,低俗小说,419146
74,8.8,勇敢的心,347638
75,9.3,大闹天宫,141291
76,8.7,剪刀手爱德华,590635
77,8.8,沉默的羔羊,427222
78,8.8,哈利·波特与魔法石,363303
79,8.7,蝴蝶效应,470079
80,8.9,春光乍泄,309592
81,8.8,心灵捕手,341384
82,8.8,入殓师,365940
83,8.8,猫鼠游戏,310726
84,8.8,布达佩斯大饭店,411453
85,8.7,禁闭岛,452045
86,8.9,玛丽和马克思,265077
87,8.8,阳光灿烂的日子,333755
88,8.8,幽灵公主,287125
89,8.8,第六感,285687
90,8.7,重庆森林,406838
91,9.1,狩猎,168864
92,9.0,穿条纹睡衣的男孩,199625
